xkoord,ykoord,kinder,random
8.502795288,47.3238609,0,0.299711659
8.503244445,47.3238609,0,0.079126863
8.503693603,47.3238609,0,0.764721576
8.504142761,47.3238609,0,0.51705801
8.504591918,47.3238609,0,0.71240697
8.505041076,47.3238609,0,0.298447878
8.505490234,47.3238609,0,0.028775729
8.505939391,47.3238609,0,0.241052513
8.506388549,47.3238609,0,0.311288458
8.506837707,47.3238609,0,0.741785264
8.507286864,47.3238609,0,0.352252574
8.507736022,47.3238609,0.00172161,0.8352911
8.508185179,47.3238609,0.01103594,0.471346774
8.508634337,47.3238609,0.02696574,0.881302488
8.509083495,47.3238609,0.04740903,0.876201409
8.509532652,47.3238609,0.0866326,0.899230654
8.50998181,47.3238609,0.11348595,0.480792543
8.510430968,47.3238609,0.1381364,0.432666368
8.510880125,47.3238609,0.1481999,1.04918696
8.511329283,47.3238609,0.16679926,0.926720321
8.511778441,47.3238609,0.17350312,0.49061732
8.512227598,47.3238609,0.19217859,0.403340991
8.512676756,47.3238609,0.18799841,0.559919833
8.513125914,47.3238609,0.19184716,1.05564346
8.501896973,47.32416536,0,0.999486208
8.50234613,47.32416536,0,0.934181722
8.502795288,47.32416536,0,0.50277068
8.503244445,47.32416536,0,0.968762273
8.503693603,47.32416536,0,0.080220156
8.504142761,47.32416536,0,0.527754823
8.504591918,47.32416536,0,0.3768141
8.505041076,47.32416536,0,0.614058053
8.505490234,47.32416536,0,0.658577341
8.505939391,47.32416536,0,0.941730197
8.506388549,47.32416536,0,0.388507094
8.506837707,47.32416536,0,0.961754626
8.507286864,47.32416536,0,0.091058385
8.507736022,47.32416536,0.00744561,0.91927238
8.508185179,47.32416536,0.02194799,0.367341692
8.508634337,47.32416536,0.03861842,0.401095756
8.509083495,47.32416536,0.09636965,0.552535708
8.509532652,47.32416536,0.13201594,0.663856413
8.50998181,47.32416536,0.16323052,1.017410689
8.510430968,47.32416536,0.21335673,0.457616941
8.510880125,47.32416536,0.23791111,0.430303389
8.511329283,47.32416536,0.24816057,0.555094737
8.511778441,47.32416536,0.28446651,1.04773198
8.512227598,47.32416536,0.28595126,0.672681569
8.512676756,47.32416536,0.29905927,0.313934146
8.513125914,47.32416536,0.29726738,0.406405183
8.513575071,47.32416536,0.28497621,1.145285366
8.515371702,47.32416536,0.33824661,0.34816887
8.515820859,47.32416536,0.39200926,0.815835385
8.501896973,47.32446982,0,0.581464105
8.50234613,47.32446982,0,0.079690428
8.502795288,47.32446982,0,0.118517167
8.503244445,47.32446982,0,0.482578948
8.503693603,47.32446982,0,0.298465107
8.504142761,47.32446982,0,0.769886788
8.504591918,47.32446982,0,0.836247592
8.505041076,47.32446982,0,0.762756658
8.505490234,47.32446982,0,0.351351124
8.505939391,47.32446982,0,0.806409081
8.506388549,47.32446982,0,0.932921474
8.506837707,47.32446982,0,0.824552503
8.507286864,47.32446982,0.00189082,0.831212145
8.507736022,47.32446982,0.01346241,0.703294538
8.508185179,47.32446982,0.041011,0.623988523
8.508634337,47.32446982,0.07514356,1.00626767
8.509083495,47.32446982,0.13748513,0.638047193
8.509532652,47.32446982,0.19134909,1.163159102
8.50998181,47.32446982,0.24781291,0.339026606
8.510430968,47.32446982,0.29097971,0.719279072
