Ereignisjahr,KontinentK,HeimatK,Anzahl
1998,Asien,Irak,4
1998,Asien,Iran,16
1998,Asien,Libanon,6
1998,Asien,Pakistan,7
1998,Asien,Philippinen,12
1998,Asien,Sri Lanka,179
1998,Asien,Thailand,5
1998,Europa,Bosnien-Herzegowina,50
1998,Europa,Deutschland,98
1998,Europa,Grossbritannien,19
1998,Europa,Italien,139
1998,Europa,Kroatien,43
1998,Europa,Mazedonien,70
1998,Europa,Portugal,131
1998,Europa,"Serbien, Montenegro und Kosovo",362
1998,Europa,Spanien,73
1998,Europa,Türkei,127
1998,Ozeanien,Australien,1
1998,Ozeanien,Fidschi Inseln,0
1998,Ozeanien,Neuseeland,0
1998,Ozeanien,Tonga,0
1998,Schweiz,Schweiz,1874
1999,Afrika,Algerien,4
1999,Afrika,Angola,13
1999,Afrika,Äthiopien,2
1999,Afrika,Dem. Republik Kongo,0
1999,Afrika,Eritrea,0
1999,Afrika,Ghana,7
1999,Afrika,Marokko,3
1999,Afrika,Nigeria,3
1999,Afrika,Somalia,43
1999,Afrika,Tunesien,8
1999,Amerika,Argentinien,2
1999,Amerika,Brasilien,16
1999,Amerika,Chile,8
1999,Amerika,Dominikanische Republik,20
1999,Amerika,Kanada,1
1999,Amerika,Kolumbien,1
1999,Amerika,Kuba,1
1999,Amerika,Mexico,1
1999,Amerika,Peru,3
1999,Amerika,USA,18
1999,Asien,Bangla Desh,1
1999,Asien,China (Volksrepublik China),3
1999,Asien,Indien,11
1999,Asien,Irak,9
1999,Asien,Iran,5
1999,Asien,Libanon,7
1999,Asien,Pakistan,10
1999,Asien,Philippinen,6
1999,Asien,Sri Lanka,166
1999,Asien,Thailand,3
1999,Europa,Bosnien-Herzegowina,47
1999,Europa,Deutschland,89
1999,Europa,Grossbritannien,21
1999,Europa,Italien,128
1999,Europa,Kroatien,36
1999,Europa,Mazedonien,69
1999,Europa,Portugal,134
1999,Europa,"Serbien, Montenegro und Kosovo",359
1999,Europa,Spanien,68
1999,Europa,Türkei,118
1999,Ozeanien,Australien,3
1999,Ozeanien,Fidschi Inseln,0
1999,Ozeanien,Neuseeland,1
1999,Ozeanien,Tonga,0
1999,Schweiz,Schweiz,1944
2000,Afrika,Algerien,3
2000,Afrika,Angola,4
2000,Afrika,Äthiopien,3
2000,Afrika,Dem. Republik Kongo,3
2000,Afrika,Eritrea,0
2000,Afrika,Ghana,8
2000,Afrika,Marokko,4
2000,Afrika,Nigeria,3
2000,Afrika,Somalia,31
2000,Afrika,Tunesien,8
2000,Amerika,Argentinien,0
2000,Amerika,Brasilien,5
2000,Amerika,Chile,8
2000,Amerika,Dominikanische Republik,16
2000,Amerika,Kanada,1
2000,Amerika,Kolumbien,3
2000,Amerika,Kuba,3
2000,Amerika,Mexico,0
2000,Amerika,Peru,4
2000,Amerika,USA,20
2000,Asien,Bangla Desh,3
2000,Asien,China (Volksrepublik China),5
2000,Asien,Indien,9
2000,Asien,Irak,11
2000,Asien,Iran,6
2000,Asien,Libanon,11
2000,Asien,Pakistan,15
2000,Asien,Philippinen,13
2000,Asien,Sri Lanka,150
2000,Asien,Thailand,8
2000,Europa,Bosnien-Herzegowina,46
2000,Europa,Deutschland,105
2000,Europa,Grossbritannien,22
2000,Europa,Italien,101
2000,Europa,Kroatien,44
2000,Europa,Mazedonien,79
2000,Europa,Portugal,138
2000,Europa,"Serbien, Montenegro und Kosovo",386
2000,Europa,Spanien,56
2000,Europa,Türkei,104
2000,Ozeanien,Australien,2
2000,Ozeanien,Fidschi Inseln,0
2000,Ozeanien,Neuseeland,0
2000,Ozeanien,Tonga,0
2000,Schweiz,Schweiz,2027
2001,Afrika,Algerien,2
2001,Afrika,Angola,9
2001,Afrika,Äthiopien,3
2001,Afrika,Dem. Republik Kongo,3
2001,Afrika,Eritrea,1
2001,Afrika,Ghana,9
2001,Afrika,Marokko,6
2001,Afrika,Nigeria,3
2001,Afrika,Somalia,33
2001,Afrika,Tunesien,11
2001,Amerika,Argentinien,0
2001,Amerika,Brasilien,7
2001,Amerika,Chile,3
2001,Amerika,Dominikanische Republik,28
2001,Amerika,Kanada,1
2001,Amerika,Kolumbien,1
2001,Amerika,Kuba,2
2001,Amerika,Mexico,2
2001,Amerika,Peru,2
2001,Amerika,USA,16
2001,Asien,Bangla Desh,5
2001,Asien,China (Volksrepublik China),3
2001,Asien,Indien,11
2001,Asien,Irak,8
2001,Asien,Iran,8
2001,Asien,Libanon,5
2001,Asien,Pakistan,11
2001,Asien,Philippinen,5
2001,Asien,Sri Lanka,143
2001,Asien,Thailand,5
2001,Europa,Bosnien-Herzegowina,40
2001,Europa,Deutschland,100
2001,Europa,Grossbritannien,18
2001,Europa,Italien,118
2001,Europa,Kroatien,25
2001,Europa,Mazedonien,69
2001,Europa,Portugal,127
2001,Europa,"Serbien, Montenegro und Kosovo",306
