xkoord,ykoord,kinder
8.52121,47.42272,4.817599773
8.52301,47.42272,3.364000082
8.5248,47.42272,2.931600094
8.5266,47.42272,2.006700039
8.5284,47.42272,1.066599965
8.53019,47.42272,0.431300014
8.53199,47.42272,2.328900099
8.53379,47.42272,6.243400097
8.53558,47.42272,10.2840004
8.53738,47.42272,14.22739983
8.53918,47.42272,16.29610062
8.54097,47.42272,17.04640007
8.54277,47.42272,17.53170013
8.54457,47.42272,17.35700035
8.54636,47.42272,18.05979919
8.54816,47.42272,17.31710052
8.54996,47.42272,16.04360008
8.55175,47.42272,12.8781004
8.55355,47.42272,9.140299797
8.55535,47.42272,6.230000019
8.47809,47.4215,0.639299989
8.47989,47.4215,1.064599991
8.48168,47.4215,1.027099967
8.48348,47.4215,0.619700015
8.48528,47.4215,0.483999997
8.48707,47.4215,0.219500005
8.48887,47.4215,0.0823
8.49067,47.4215,0.327499986
8.49246,47.4215,1.432700038
8.49426,47.4215,4.618100166
8.49606,47.4215,9.153100014
8.49785,47.4215,15.76539993
8.49965,47.4215,23.0788002
8.50145,47.4215,28.36840057
8.50324,47.4215,31.10969925
8.50504,47.4215,30.74609947
8.50684,47.4215,27.55069923
8.50863,47.4215,24.36800003
8.51043,47.4215,21.11849976
8.51223,47.4215,18.04929924
8.51402,47.4215,14.06890011
8.51582,47.4215,9.987000465
8.51762,47.4215,6.159800053
8.51941,47.4215,3.68569994
8.52121,47.4215,1.743399978
8.52301,47.4215,1.34739995
8.5248,47.4215,1.251199961
8.5266,47.4215,1.095399976
8.5284,47.4215,1.002900004
8.53019,47.4215,2.170799971
8.53199,47.4215,4.191800117
8.53379,47.4215,7.280600071
8.53558,47.4215,10.68120003
8.53738,47.4215,13.82129955
8.53918,47.4215,15.02499962
8.54097,47.4215,15.24989986
8.54277,47.4215,15.56879997
8.54457,47.4215,15.37059975
8.54636,47.4215,15.94050026
8.54816,47.4215,15.37950039
8.54996,47.4215,14.08650017
8.55175,47.4215,11.34939957
8.55355,47.4215,8.146800041
8.55535,47.4215,5.122499943
8.47629,47.42029,1.615300059
8.47809,47.42029,2.973999977
8.47989,47.42029,3.556999922
8.48168,47.42029,3.15109992
8.48348,47.42029,2.360699892
8.48528,47.42029,1.329399943
8.48707,47.42029,0.574699998
8.48887,47.42029,0.219500005
8.49067,47.42029,0.0823
8.49246,47.42029,0.345499992
8.49426,47.42029,2.351900101
8.49606,47.42029,5.830900192
8.49785,47.42029,10.27770042
8.49965,47.42029,15.28009987
8.50145,47.42029,19.26499939
8.50324,47.42029,22.88290024
8.50504,47.42029,23.90010071
8.50684,47.42029,23.48209953
8.50863,47.42029,23.25419998
8.51043,47.42029,21.37520027
8.51223,47.42029,18.45669937
8.51402,47.42029,14.45009995
8.51582,47.42029,10.50790024
8.51762,47.42029,5.938600063
8.51941,47.42029,2.90170002
8.52121,47.42029,0.690100014
8.52301,47.42029,0.707899988
8.5248,47.42029,0.940100014
8.5266,47.42029,1.905599952
8.5284,47.42029,3.282900095
8.53019,47.42029,5.12680006
8.53199,47.42029,7.218400002
8.53379,47.42029,10.12590027
8.53558,47.42029,12.72840023
8.53738,47.42029,15.17669964
8.53918,47.42029,15.72299957
8.54097,47.42029,15.53689957
8.54277,47.42029,15.26449966
8.54457,47.42029,15.04829979
8.54636,47.42029,15.03960037
8.54816,47.42029,14.32940006
8.54996,47.42029,12.84160042
8.55175,47.42029,9.822799683
8.55355,47.42029,7.022999763
8.55535,47.42029,4.780399799
