Jahr,Geschlecht,statistischeZoneId,statistischeZoneName,Geburten
1993,männlich,6106,Seminarstrasse,6
1993,männlich,3408,Sihlhölzli,9
2014,männlich,3408,Sihlhölzli,27
1993,männlich,2303,Sihlweidstrasse,7
1993,männlich,2111,Seeblickstrasse,5
2014,männlich,6106,Seminarstrasse,5
1993,männlich,4401,Schlachthof,19
1993,männlich,4201,Schöneggplatz,15
1993,männlich,10206,Schubertstrasse,19
1993,männlich,7202,Sonnenberg,3
2014,männlich,7202,Sonnenberg,6
1993,männlich,3304,Strassenverkehrsamt,3
1993,männlich,6105,Steinkluppe,5
2014,männlich,3304,Strassenverkehrsamt,6
1993,männlich,6108,Stüssistrasse,12
2014,männlich,6108,Stüssistrasse,19
2014,männlich,4206,Sihlpost,14
2014,männlich,7102,Sonnenbad,4
2014,männlich,11505,Stadthof,11
2014,männlich,6105,Steinkluppe,11
2014,männlich,5202,Technopark,10
2014,männlich,3306,Triemli,10
1993,männlich,12201,Tulpenstrasse,9
1993,männlich,7104,Universitätsspital,6
1993,männlich,11105,Schützenmatt,14
1993,männlich,11902,Schwandenholz,13
2014,männlich,11902,Schwandenholz,20
1993,männlich,8101,Seebad Utoquai,9
1993,männlich,7407,Trichtenhausen,2
1993,männlich,2110,Verenastrasse,6
2014,männlich,2110,Verenastrasse,5
2014,männlich,10108,Waidbad,14
1993,männlich,10201,Waidspital,4
1993,männlich,9207,Werdhölzli,7
2014,männlich,7104,Universitätsspital,8
2014,männlich,4205,Volkshaus,13
1993,männlich,10108,Waidbad,9
2014,männlich,1403,Selnaustrasse,5
1993,männlich,4206,Sihlpost,11
2014,männlich,3303,Uetliberg,11
1993,männlich,4205,Volkshaus,18
2014,männlich,10201,Waidspital,7
1993,männlich,1101,Zähringerstrasse,4
1993,männlich,4102,Werdplatz,1
1993,männlich,1102,Zentralbibliothek,4
2014,männlich,2303,Sihlweidstrasse,9
1993,männlich,7102,Sonnenbad,3
1993,männlich,11505,Stadthof,8
1993,männlich,2106,Waschanstalt,1
2014,männlich,2106,Waschanstalt,1
2014,männlich,9207,Werdhölzli,7
2014,männlich,10104,Werdinsel,17
2014,männlich,4102,Werdplatz,1
2014,männlich,1101,Zähringerstrasse,5
1993,männlich,11103,Zehntenhausplatz,14
1993,männlich,5202,Technopark,2
1993,männlich,8103,Tiefenbrunnen,6
2014,männlich,8103,Tiefenbrunnen,13
2014,männlich,7407,Trichtenhausen,5
1993,männlich,3306,Triemli,4
1993,männlich,9104,Zollfreilager,4
2014,männlich,9104,Zollfreilager,15
1993,männlich,7106,Zoo,1
2014,männlich,10203,Zschokkestrasse,12
1993,männlich,9211,Zwyssigstrasse,10
2014,männlich,12201,Tulpenstrasse,19
1993,männlich,3303,Uetliberg,7
1993,männlich,6301,Uni Irchel,1
2014,männlich,6301,Uni Irchel,3
1993,weiblich,11905,Ausserdorfstrasse,2
2014,weiblich,9206,Bachmattstrasse,15
1993,weiblich,11503,Albin Zollinger-Platz,12
1993,weiblich,3305,Albisgüetli,6
1993,weiblich,2107,Auf der Egg,5
2014,männlich,3406,Zwinglihaus,25
1993,weiblich,11501,Affolternstrasse,14
1993,männlich,10104,Werdinsel,8
2014,männlich,11103,Zehntenhausplatz,30
1993,weiblich,3407,Bahnhof Wiedikon,9
1993,weiblich,2101,Bahnhof Wollishofen,2
2014,weiblich,1401,Bahnhofplatz,1
1993,weiblich,10106,Bauherrenstrasse,6
2014,weiblich,6113,Beckenhof,17
1993,weiblich,2403,Belvoir-Park,10
2014,weiblich,11501,Affolternstrasse,41
2014,weiblich,11503,Albin Zollinger-Platz,18
2014,weiblich,3305,Albisgüetli,8
2014,weiblich,12203,Auhof,14
2014,weiblich,2403,Belvoir-Park,8
2014,weiblich,5103,Berufsschule,3
1993,weiblich,7103,Bethanien,7
2014,weiblich,4204,Bezirksgebäude,1
2014,männlich,1102,Zentralbibliothek,6
2014,männlich,7106,Zoo,1
1993,männlich,10203,Zschokkestrasse,12
1993,männlich,3406,Zwinglihaus,20
1993,weiblich,6113,Beckenhof,6
1993,weiblich,1203,Bellevue,1
1993,weiblich,11508,Berninaplatz,8
2014,weiblich,11508,Berninaplatz,9
1993,weiblich,8302,Botanischer Garten,4
2014,weiblich,3403,Brahmsstrasse,12
1993,weiblich,9101,Brünneliacker,4
2014,weiblich,11905,Ausserdorfstrasse,3
1993,weiblich,12103,Auzelg,2
1993,weiblich,9206,Bachmattstrasse,9
1993,weiblich,4202,Bäckeranlage,7
2014,weiblich,4202,Bäckeranlage,15
2014,weiblich,2101,Bahnhof Wollishofen,2
2014,weiblich,3105,Binz,31
2014,weiblich,12202,Bocklerstrasse,10
2014,männlich,9211,Zwyssigstrasse,13
1993,weiblich,9209,Altstetterplatz,5
2014,weiblich,9209,Altstetterplatz,14
2014,weiblich,2107,Auf der Egg,9
1993,weiblich,12203,Auhof,6
1993,weiblich,7401,Buchzelgstrasse,9
1993,weiblich,4403,Bullingerhof,11
1993,weiblich,9210,Calandastrasse,7
1993,weiblich,7402,Carl Spitteler-Strasse,4
2014,weiblich,10106,Bauherrenstrasse,10
1993,weiblich,2102,Bellariastrasse,17
2014,weiblich,2102,Bellariastrasse,22
1993,weiblich,5103,Berufsschule,3
2014,weiblich,9101,Brünneliacker,9
2014,weiblich,7401,Buchzelgstrasse,13
2014,weiblich,4403,Bullingerhof,9
2014,weiblich,8303,Burghölzli,10
2014,weiblich,12103,Auzelg,4
1993,weiblich,1201,Central,1
2014,weiblich,6304,Culmannstrasse,12
1993,weiblich,9205,Dachslernstrasse,15
2014,weiblich,7103,Bethanien,12
1993,weiblich,9103,Bockhornstrasse,3
2014,weiblich,9103,Bockhornstrasse,9
1993,weiblich,12202,Bocklerstrasse,3
2014,weiblich,8102,Chinagarten,20
2014,weiblich,9205,Dachslernstrasse,16
1993,weiblich,7301,Degenried,2
1993,weiblich,12102,Dreispitz,18
2014,weiblich,3407,Bahnhof Wiedikon,20
1993,weiblich,3403,Brahmsstrasse,12
1993,weiblich,11906,Eichrain,17
2014,weiblich,8302,Botanischer Garten,4
2014,weiblich,9204,Buchlern,18
1993,weiblich,8303,Burghölzli,5
1993,weiblich,9213,Edelweissstrasse,5
2014,weiblich,11906,Eichrain,31
2014,weiblich,9109,Espenhof,20
1993,weiblich,9204,Buchlern,14
2014,weiblich,9210,Calandastrasse,17
2014,weiblich,1201,Central,1
1993,weiblich,6304,Culmannstrasse,10
2014,weiblich,7403,Eierbrecht,7
1993,weiblich,2109,Entlisberg,19
1993,weiblich,1202,ETH / Universität,1
1993,weiblich,6305,Frauenklinik,6
1993,weiblich,6103,Freibad Allenmoos,5
1993,weiblich,3402,Friedhof Sihlfeld,8
2014,weiblich,3402,Friedhof Sihlfeld,8
2014,weiblich,11102,Furttalstrasse,10
1993,weiblich,6110,Gemsenstrasse,10
2014,weiblich,7402,Carl Spitteler-Strasse,11
1993,weiblich,8102,Chinagarten,7
2014,weiblich,7301,Degenried,9
2014,weiblich,7201,Dolder,3
1993,weiblich,7203,Doldertal,3
1993,weiblich,6112,Drahtschmidli,7
2014,weiblich,12102,Dreispitz,27
1993,weiblich,3404,Fritschistrasse,17
1993,weiblich,11102,Furttalstrasse,5
1993,weiblich,8203,Geranienstrasse,4
2014,weiblich,8203,Geranienstrasse,8
1993,weiblich,3102,Goldbrunnenplatz,12
2014,weiblich,3102,Goldbrunnenplatz,14
1993,weiblich,11509,Gorwiden,6
2014,weiblich,7203,Doldertal,4
2014,weiblich,6112,Drahtschmidli,6
1993,weiblich,9201,Dunkelhölzli,10
2014,weiblich,9213,Edelweissstrasse,16
2014,weiblich,9201,Dunkelhölzli,10
1993,weiblich,9203,Eichbühl,4
2014,weiblich,9203,Eichbühl,13
1993,weiblich,7403,Eierbrecht,4
2014,weiblich,7405,Glockenacker,7
2014,weiblich,9212,Grimselstrasse,14
1993,weiblich,10107,Grossmannstrasse,11
2014,weiblich,10107,Grossmannstrasse,19
2014,weiblich,11908,Grünhaldenstrasse,17
1993,weiblich,7207,Eidmattstrasse,13
2014,weiblich,7207,Eidmattstrasse,14
1993,weiblich,4203,Engelstrasse,21
2014,weiblich,2109,Entlisberg,14
2014,weiblich,4203,Engelstrasse,18
1993,weiblich,9109,Espenhof,21
2014,weiblich,3103,Gotthelfstrasse,12
1993,weiblich,9212,Grimselstrasse,4
1993,weiblich,10110,Gsteigstrasse,4
2014,weiblich,10110,Gsteigstrasse,12
2014,weiblich,9208,Hardhof,3
2014,weiblich,5201,Hardturm,3
1993,weiblich,7101,Heubeeriweg,3
2014,weiblich,6305,Frauenklinik,5
2014,weiblich,6103,Freibad Allenmoos,7
2014,weiblich,3404,Fritschistrasse,14
2014,weiblich,2406,Gartenstrasse,3
2014,weiblich,6110,Gemsenstrasse,11
2014,weiblich,6107,Guggachstrasse,17
1993,weiblich,9208,Hardhof,5
1993,weiblich,5201,Hardturm,4
2014,weiblich,7303,Hegibachplatz,28
1993,weiblich,3301,Heuried,4
2014,weiblich,3301,Heuried,12
1993,weiblich,12302,Hirzenbachstrasse,13
1993,weiblich,2301,Höckler,1
2014,weiblich,2301,Höckler,14
1993,weiblich,3302,Gehrenholz,15
2014,weiblich,3302,Gehrenholz,6
1993,weiblich,7405,Glockenacker,8
1993,weiblich,3103,Gotthelfstrasse,15
2014,weiblich,11509,Gorwiden,8
1993,weiblich,1103,Grossmünster,1
2014,weiblich,9216,Grünaustrasse,10
2014,weiblich,1103,Grossmünster,2
1993,weiblich,11908,Grünhaldenstrasse,14
1993,weiblich,4405,Güterbahnhof,17
2014,weiblich,12302,Hirzenbachstrasse,25
2014,weiblich,3101,Höfliweg,33
1993,weiblich,8201,Holbeinstrasse,6
2014,weiblich,8201,Holbeinstrasse,14
2014,weiblich,11904,Höhenring,29
2014,weiblich,10102,Hönggerberg,13
1993,weiblich,11106,Hürststrasse,12
1993,weiblich,6107,Guggachstrasse,9
2014,weiblich,4405,Güterbahnhof,23
2014,weiblich,12101,Hagenholz,9
